best_epoch,best_train_box_loss,best_train_cls_loss,best_train_dfl_loss,best_val_box_loss,best_val_cls_loss,best_val_dfl_loss,best_val_map50,best_val_map50_95,best_val_precision,best_val_recall,erasing,final_epoch,final_val_map50_95,fliplr,hsv_s,hsv_v,imgsz,model,mosaic,run,sahi_fn_at_visual_conf,sahi_fp_at_visual_conf,sahi_precision_at_visual_conf,sahi_recall_at_visual_conf,sahi_tp_at_visual_conf,scale,status,translate,visual_conf,yolo_fn_at_visual_conf,yolo_fp_at_visual_conf,yolo_precision_at_visual_conf,yolo_recall_at_visual_conf,yolo_tp_at_visual_conf
7,0.23794,15.0801,0.00064,0.61881,19.8898,0.00168,0.665,0.39891,0.61315,0.66667,0.0,10,0.39072,0.0,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p0_t0p0_e0p0_hs0p3_hv0p4_f0p0,4,1,0.5,0.2,1,0.0,completed,0.0,0.02,4,1,0.5,0.2,1
10,0.28828,14.7264,0.00073,0.69322,19.2668,0.00185,0.0003,6e-05,0.0002,0.16667,0.0,10,6e-05,0.5,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p0_t0p0_e0p0_hs0p3_hv0p4_f0p5,5,0,0.0,0.0,0,0.0,completed,0.0,0.02,5,0,0.0,0.0,0
10,0.29985,14.4204,0.00075,0.68104,18.6657,0.00183,0.32053,0.22815,0.18832,0.50288,0.0,10,0.22815,0.0,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p0_t0p02_e0p0_hs0p3_hv0p4_f0p0,1,31,0.11428571428571428,0.8,4,0.0,completed,0.02,0.02,2,31,0.08823529411764706,0.6,3
8,0.34667,15.2652,0.00094,0.64477,19.8744,0.00165,0.57056,0.32683,0.42667,0.62402,0.0,10,0.31015,0.5,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p0_t0p02_e0p0_hs0p3_hv0p4_f0p5,4,5,0.16666666666666666,0.2,1,0.0,completed,0.02,0.02,4,2,0.3333333333333333,0.2,1
10,0.27489,14.7259,0.00068,0.72214,19.8472,0.00176,0.0128,0.00825,0.00039,0.33333,0.0,10,0.00825,0.0,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p05_t0p0_e0p0_hs0p3_hv0p4_f0p0,5,0,0.0,0.0,0,0.05,completed,0.0,0.02,5,0,0.0,0.0,0
9,0.30104,14.941,0.00078,0.6871,19.7668,0.00163,0.27833,0.12784,0.00039,0.33333,0.0,10,0.1194,0.5,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p05_t0p0_e0p0_hs0p3_hv0p4_f0p5,5,0,0.0,0.0,0,0.05,completed,0.0,0.02,5,0,0.0,0.0,0
10,0.31802,14.4639,0.00082,0.70603,19.3046,0.00191,0.3978,0.29484,0.36549,0.5,0.0,10,0.29484,0.0,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p05_t0p02_e0p0_hs0p3_hv0p4_f0p0,2,15,0.16666666666666666,0.6,3,0.05,completed,0.02,0.02,2,25,0.10714285714285714,0.6,3
9,0.3485,14.6947,0.00089,0.61247,19.1019,0.00154,0.37975,0.23703,0.24661,0.5,0.0,10,0.23685,0.5,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p05_t0p02_e0p0_hs0p3_hv0p4_f0p5,1,27,0.12903225806451613,0.8,4,0.05,completed,0.02,0.02,3,40,0.047619047619047616,0.4,2
8,0.29027,15.0469,0.00071,0.5823,19.6694,0.00148,0.335,0.23383,0.00039,0.33333,0.0,10,0.23292,0.0,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p1_t0p0_e0p0_hs0p3_hv0p4_f0p0,3,2,0.5,0.4,2,0.1,completed,0.0,0.02,3,2,0.5,0.4,2
10,0.34525,14.9312,0.00093,0.62367,19.5932,0.00155,0.431,0.30199,0.00059,0.5,0.0,10,0.30199,0.5,0.3,0.4,1024,yolo26n.pt,0.0,yolo26n_i1024_m0p0_s0p1_t0p0_e0p0_hs0p3_hv0p4_f0p5,5,0,0.0,0.0,0,0.1,completed,0.0,0.02,5,0,0.0,0.0,0
